Date,Open,High,Low,Close,Adj Close,Volume
2013-12-16,57.369999,57.610001,57.020000,57.020000,57.020000,11400
2013-12-17,57.049999,57.160000,56.939999,57.150002,57.150002,2800
2013-12-18,57.599998,58.160000,57.599998,58.060001,58.060001,6100
2013-12-19,58.160000,59.169998,58.160000,59.040001,59.040001,14400
2013-12-20,59.610001,60.060001,59.610001,59.959999,59.959999,35700
2013-12-23,59.750000,59.959999,59.619999,59.720001,59.720001,13600
2013-12-24,60.349998,60.560001,60.349998,60.430000,60.430000,5800
2013-12-26,60.500000,61.060001,59.349998,60.540001,60.540001,20800
2013-12-27,60.669998,60.939999,60.299999,60.389999,60.389999,11700
2013-12-30,60.080002,60.119999,59.840000,59.919998,59.919998,16700
2013-12-31,59.720001,60.020000,59.720001,59.930000,59.930000,11600
2014-01-02,59.020000,59.130001,57.910000,58.040001,58.040001,31100
2014-01-03,57.820000,57.830002,56.900002,57.130001,57.130001,26300
2014-01-06,57.000000,57.240002,56.939999,57.099998,57.099998,14600
2014-01-07,57.320000,57.770000,57.320000,57.599998,57.599998,11400
2014-01-08,57.500000,57.500000,57.049999,57.230000,57.230000,14400
2014-01-09,57.340000,57.410000,56.599998,56.910000,56.910000,21000
2014-01-10,57.060001,57.549999,56.700001,57.520000,57.520000,18800
2014-01-13,57.279999,57.299999,56.340000,56.340000,56.340000,30300
2014-01-14,56.299999,56.369999,55.860001,56.230000,56.230000,13800
2014-01-15,56.279999,56.720001,56.240002,56.320000,56.320000,13000
2014-01-16,56.080002,56.240002,55.610001,55.709999,55.709999,35900
2014-01-17,56.320000,56.630001,56.250000,56.299999,56.299999,23200
2014-01-21,57.180000,57.250000,56.310001,56.470001,56.470001,44100
2014-01-22,56.799999,57.560001,56.750000,57.480000,57.480000,32600
2014-01-23,57.340000,57.340000,57.020000,57.139999,57.139999,5700
2014-01-24,57.000000,57.250000,56.799999,57.209999,57.209999,12300
2014-01-27,56.950001,57.000000,56.200001,56.540001,56.540001,14200
2014-01-28,56.540001,56.840000,56.459999,56.500000,56.500000,9500
2014-01-29,56.500000,57.099998,56.500000,57.009998,57.009998,10200
2014-01-30,57.220001,57.639999,57.189999,57.279999,57.279999,15600
2014-01-31,56.799999,57.259998,56.209999,56.340000,56.340000,15300
2014-02-03,56.220001,56.340000,55.520000,55.880001,55.880001,19600
2014-02-04,55.759998,55.889999,55.680000,55.779999,55.779999,3400
2014-02-05,55.880001,56.549999,55.869999,56.480000,56.480000,6400
2014-02-06,57.279999,57.410000,57.130001,57.380001,57.380001,12200
2014-02-07,57.980000,58.779999,57.900002,58.740002,58.740002,22500
2014-02-10,58.810001,58.820000,58.200001,58.279999,58.279999,16900
2014-02-11,58.770000,59.000000,58.730000,58.849998,58.849998,18200
2014-02-12,59.480000,59.779999,58.959999,58.970001,58.970001,27500
2014-02-13,58.619999,59.430000,58.540001,59.259998,59.259998,12400
2014-02-14,59.240002,60.130001,59.060001,59.820000,59.820000,24200
2014-02-18,60.470001,60.779999,60.419998,60.599998,60.599998,27700
2014-02-19,60.410000,60.820000,60.369999,60.419998,60.419998,20300
2014-02-20,60.070000,61.200001,60.060001,61.160000,61.160000,49200
2014-02-21,60.930000,61.000000,60.320000,60.570000,60.570000,18000
2014-02-24,60.599998,60.980000,60.570000,60.610001,60.610001,15900
2014-02-25,60.520000,60.520000,59.939999,59.939999,59.939999,14900
2014-02-26,59.939999,60.430000,59.820000,60.259998,60.259998,8300
2014-02-27,59.669998,59.860001,59.619999,59.680000,59.680000,11600
2014-02-28,59.389999,60.040001,59.389999,60.020000,60.020000,9400
2014-03-03,60.919998,61.169998,60.520000,60.869999,60.869999,33700
2014-03-04,60.279999,60.279999,60.000000,60.180000,60.180000,13500
2014-03-05,59.990002,59.990002,59.230000,59.250000,59.250000,10900
2014-03-06,59.310001,59.439999,59.099998,59.419998,59.419998,8900
2014-03-07,59.520000,60.000000,59.520000,59.889999,59.889999,8300
2014-03-10,59.400002,59.540001,59.290001,59.540001,59.540001,13100
2014-03-11,59.430000,59.820000,59.430000,59.820000,59.820000,2500
2014-03-12,59.189999,59.759998,59.180000,59.599998,59.599998,12800
2014-03-13,59.310001,59.369999,58.900002,59.139999,59.139999,17200
2014-03-14,59.099998,59.849998,59.099998,59.660000,59.660000,18500
2014-03-17,59.040001,59.040001,58.070000,58.169998,58.169998,21000
2014-03-18,57.880001,58.560001,57.880001,58.520000,58.520000,14100
2014-03-19,57.980000,58.099998,57.639999,57.990002,57.990002,14200
2014-03-20,57.759998,58.450001,57.740002,58.270000,58.270000,12700
2014-03-21,58.720001,59.099998,58.680000,58.759998,58.759998,8900
